food_category,hours_since_cooked,storage_temp_c,humidity_pct,freshness_score
dry_snacks,8.43,17.8,69.6,0.147
baked_goods,4.46,26.9,32.2,0.076
fried_items,9.53,20.4,88.2,0.0
dairy_based,6.51,14.1,38.4,0.02
dairy_based,1.16,22.3,44.0,0.281
raw_salads,8.85,31.9,88.5,0.016
dry_snacks,4.89,26.8,76.3,0.187
baked_goods,1.42,36.1,86.2,0.528
rice_curry,1.53,25.1,78.4,0.23
dry_snacks,6.88,38.7,69.1,0.026
fried_items,0.47,25.1,47.1,0.888
raw_salads,2.87,24.1,49.6,0.0
baked_goods,1.4,16.3,86.8,0.828
baked_goods,4.41,30.7,81.6,0.0
baked_goods,4.14,21.0,51.6,0.488
baked_goods,5.22,20.1,52.4,0.373
fried_items,2.8,31.7,47.9,0.0
dry_snacks,0.32,30.9,49.6,1.0
raw_salads,6.14,30.8,81.6,0.0
dairy_based,3.74,21.8,30.6,0.019
fried_items,6.51,23.7,56.2,0.0
dairy_based,1.09,23.6,86.6,0.289
rice_curry,0.14,28.7,62.6,0.919
raw_salads,2.48,33.3,57.0,0.0
baked_goods,4.57,26.2,48.7,0.067
fried_items,3.94,35.8,34.4,0.0
dairy_based,8.1,29.4,43.5,0.0
baked_goods,3.78,22.6,35.4,0.395
fried_items,5.3,29.0,37.6,0.0
dairy_based,5.94,34.2,39.8,0.008
dairy_based,0.22,36.0,48.1,0.728
rice_curry,5.15,31.1,30.7,0.0
dry_snacks,3.45,24.2,87.0,0.435
fried_items,4.21,22.7,37.4,0.009
raw_salads,1.0,27.5,53.0,0.316
dry_snacks,7.83,34.0,82.8,0.0
raw_salads,9.42,26.6,36.4,0.017
baked_goods,0.22,26.7,59.0,1.0
rice_curry,6.01,24.3,80.7,0.009
fried_items,7.64,22.0,63.4,0.077
dry_snacks,2.85,23.0,42.6,0.722
baked_goods,7.88,24.8,74.1,0.0
baked_goods,6.32,34.3,70.9,0.0
dairy_based,9.29,22.6,51.7,0.0
dry_snacks,9.81,24.3,32.8,0.015
raw_salads,0.42,18.8,30.5,0.828
dairy_based,4.45,28.3,79.5,0.002
raw_salads,5.47,32.2,49.3,0.0
baked_goods,1.47,33.7,38.3,0.544
baked_goods,3.36,25.2,61.1,0.343
baked_goods,9.88,27.4,85.2,0.0
rice_curry,0.16,23.1,30.5,0.955
dairy_based,4.53,27.2,33.4,0.0
dairy_based,8.43,25.9,55.0,0.0
dairy_based,3.24,24.3,70.6,0.007
dry_snacks,4.8,24.8,58.6,0.283
fried_items,9.78,26.7,83.9,0.01
dry_snacks,4.75,22.2,32.6,0.391
baked_goods,1.31,22.5,50.4,0.761
baked_goods,0.52,34.2,51.1,0.852
raw_salads,9.45,40.0,50.4,0.012
baked_goods,2.66,16.8,59.3,0.642
dairy_based,5.04,16.4,77.4,0.023
raw_salads,0.91,18.3,49.1,0.695
dairy_based,4.24,23.4,74.7,0.0
rice_curry,9.3,29.4,38.8,0.045
