distance_km,eta_minutes,spare_capacity_ratio,ngo_acceptance_track_record,accepted
7.21,17.6,0.245,0.472,0
7.01,16.9,0.573,0.519,1
7.15,18.6,0.611,0.878,0
0.84,3.0,0.549,0.546,1
0.26,3.0,0.869,0.531,1
4.36,9.5,0.605,0.797,1
4.23,13.0,0.508,0.635,1
9.37,22.5,0.123,0.893,1
0.24,3.0,0.703,0.777,1
3.14,11.7,0.132,0.57,1
0.21,3.0,0.027,0.753,1
3.27,10.6,0.489,0.911,1
5.19,13.1,0.572,0.615,0
1.16,3.7,0.999,0.835,1
3.69,9.4,0.712,0.645,1
0.46,3.0,0.849,0.72,1
0.27,3.0,0.346,0.833,1
0.95,3.0,0.509,0.436,1
2.7,5.5,0.974,0.668,1
1.24,3.3,0.417,0.456,1
3.74,8.9,0.807,0.828,1
0.67,3.1,0.526,0.759,1
5.51,16.4,0.224,0.593,0
3.68,7.3,0.58,0.445,1
1.97,3.5,0.218,0.946,1
1.25,3.0,0.003,0.586,1
1.36,7.5,0.236,0.562,1
0.23,3.0,0.193,0.46,1
0.54,3.0,0.371,0.741,1
2.06,3.0,0.889,0.557,1
1.17,3.0,0.388,0.897,1
3.79,10.5,0.845,0.803,1
2.13,4.8,0.556,0.402,1
0.71,3.9,0.008,0.734,1
1.38,8.1,0.189,0.537,1
1.92,3.0,0.931,0.409,1
1.03,3.0,0.604,0.765,1
0.97,3.0,0.93,0.521,1
2.64,9.8,0.31,0.931,1
0.89,4.3,0.717,0.738,1
4.0,9.7,0.772,0.523,1
4.17,10.5,0.976,0.978,1
3.25,6.5,0.018,0.722,1
0.22,3.0,0.952,0.498,1
3.4,7.7,0.392,0.705,1
4.06,9.6,0.838,0.966,1
3.37,9.6,0.545,0.65,0
0.84,3.0,0.565,0.651,1
0.96,3.0,0.359,0.672,1
0.5,3.0,0.828,0.565,1
1.06,4.2,0.264,0.495,1
0.1,3.5,0.492,0.742,1
0.5,3.0,0.56,0.928,1
3.95,11.5,0.743,0.834,1
11.99,29.6,0.472,0.457,0
1.69,3.0,0.68,0.637,1
0.85,3.4,0.485,0.403,1
1.19,3.3,0.659,0.582,1
1.08,3.0,0.674,0.795,1
0.39,3.0,0.709,0.571,1
3.25,8.0,0.823,0.896,1
4.13,9.3,0.541,0.682,1
4.52,14.3,0.193,0.795,1
15.93,40.8,0.68,0.921,0
6.32,18.5,0.077,0.803,1
4.93,12.9,0.219,0.929,1
3.13,8.0,0.792,0.877,1
1.78,3.0,0.435,0.735,1
0.13,3.0,0.498,0.575,1
2.87,7.2,0.987,0.576,1
1.86,3.0,0.235,0.916,0
4.52,10.2,0.02,0.432,1
6.08,14.6,0.111,0.955,0
1.0,3.3,0.245,0.593,1
0.15,3.0,0.726,0.836,1
2.77,5.8,0.776,0.595,1
7.66,20.1,0.565,0.962,1
2.46,5.8,0.255,0.422,0
6.39,10.2,0.522,0.608,1
2.26,4.7,0.015,0.912,1
3.94,12.0,0.682,0.562,1
0.87,3.0,0.614,0.563,1
0.4,3.0,0.022,0.93,1
0.43,4.2,0.817,0.89,1
0.35,3.0,0.763,0.462,1
0.16,3.0,0.308,0.742,1
5.15,10.3,0.635,0.532,1
1.35,6.6,0.601,0.527,1
1.16,3.0,0.143,0.763,1
2.8,7.1,0.193,0.473,1
0.56,4.1,0.683,0.677,1
5.75,15.7,0.934,0.551,1
3.88,7.9,0.576,0.904,1
0.99,3.0,0.568,0.727,1
0.6,3.0,0.647,0.527,1
1.59,3.0,0.441,0.947,1
0.91,3.0,0.054,0.886,1
0.23,3.0,0.397,0.557,1
1.51,3.0,0.9,0.967,1
6.76,20.1,0.805,0.558,1
3.03,7.9,0.927,0.573,1
9.25,21.3,0.153,0.628,0
6.14,14.0,0.506,0.497,1
3.35,4.6,0.585,0.805,0
5.55,11.7,0.21,0.729,1
2.18,7.5,0.201,0.928,1
3.2,12.5,0.782,0.542,1
1.14,4.3,0.672,0.5,1
0.66,3.0,0.647,0.612,1
6.43,15.2,0.267,0.486,0
0.42,3.0,0.507,0.958,1
0.56,5.5,0.023,0.823,0
0.93,3.0,0.13,0.87,1
2.9,11.5,0.518,0.841,1
1.24,5.9,0.31,0.543,1
2.05,3.0,0.966,0.483,1
6.48,14.9,0.471,0.653,1
4.63,10.2,0.084,0.889,1
3.51,8.6,0.018,0.595,0
0.51,3.0,0.725,0.406,1
3.57,14.9,0.172,0.789,1
1.36,3.0,0.188,0.518,1
0.37,3.0,0.424,0.72,1
1.2,4.2,0.264,0.409,1
0.21,3.0,0.617,0.7,1
2.75,7.1,0.486,0.632,1
2.92,5.2,0.111,0.919,1
0.88,3.0,0.785,0.826,1
0.14,3.0,0.426,0.421,0
8.19,21.1,0.611,0.866,1
2.42,7.2,0.004,0.867,1
4.46,14.0,0.626,0.791,1
1.06,4.5,0.283,0.948,1
5.03,12.7,0.494,0.874,1
4.92,10.0,0.298,0.529,1
0.28,3.0,0.996,0.625,1
16.29,40.3,0.231,0.606,0
2.02,5.6,0.913,0.698,1
4.19,9.5,0.918,0.963,1
0.73,3.0,0.421,0.763,1
2.95,5.0,0.304,0.585,1
0.86,3.0,0.381,0.955,1
4.84,11.6,0.989,0.813,1
1.39,3.0,0.619,0.557,1
2.34,3.8,0.545,0.935,1
1.58,3.2,0.036,0.603,1
2.26,3.0,0.848,0.705,1
1.42,4.3,0.084,0.683,1
1.84,6.1,0.047,0.945,1
0.1,3.0,0.275,0.557,1
4.76,11.0,0.476,0.597,0
7.53,19.9,0.895,0.789,1
1.74,3.0,0.79,0.923,1
10.21,24.0,0.198,0.468,0
0.5,3.7,0.372,0.524,1
8.35,22.7,0.78,0.959,1
1.09,3.9,0.527,0.859,1
2.01,6.9,0.174,0.604,1
7.31,14.3,0.396,0.611,0
0.38,3.7,0.626,0.677,1
0.57,3.0,0.973,0.798,1
4.03,12.1,0.662,0.731,1
